"Source:","http://www.lib.berkeley.edu/MRC/EnvidesignVid.html"
"Environmental Design"
"The American House: A Guide to Architectural Styles.","Teaches viewers how to identify the most common styles of American houses, emphasizing the richness of architectural variety in residential design. Contents: Tudor -- Neo-Classic (Greek revival) -- Queen Anne -- Bungalow (Craftsman) -- Ranch/Split level -- Prairie School (Frank Lloyd Wright) -- Colonial Revival (Dutch, Spanish, New England, Georgian) -- Neo-Eclectic Contemporary (Internatinal School, Post modern). With 19-page guide. c1992.23 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6128"">Video/C 6128Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"American Institute of Architects. National Convention (2003 : San Diego, Calif.): Design Matters: poetry plus Proof.","Moderator: Thompson E. Penney. Panel: Robert Ivy, Daniel Libeskind, Stanton Eckstut, Paul Goldberger, Frances Halsband. Cassette 1. AIA upcoming events (10 min.) -- Introduction to day 3 of conference and presentation of presidential medals (7 min.) -- Presentation on the American Architectural Foundation (12 min.) -- Presentation on 2004 AIA convention (15 min.) -- Introduction of featured speaker Daniel Libeskind / Thompson E. Penney, Robert Ivy (8 min.) -- Proposals for Lower Manhattan / Daniel Libeskind (31 min.) -- Panel discussion (39 min.) -- Cassette 2. Conclusion of panel discussion (29 min.).
Presents coverage of the final day of the 2003 AIA convention, with featured speaker Daniel Libeskind, who's firm was recently selected to design the rebuilding of the World Trade Center. His presentation includes the design concept for the skyscraper with slides and architectural renderings of the final design. Followed by a panel discussion of notable architects who address issues around the winning design and its integration into the memorial for the victims of the September 11th, 2001, terrorist attack. 151 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9696"">Video/C 9696Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Ancient Egypt.","Shows examples of ancient Egyptian art and architecture while briefly outlining Egypt's history. Traces the development of Egyptology and includes interviews with Egyptologists and archaeologists currently working in Egypt. 1971. 52 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+5"">Video/C 5Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"The APS Environmental Showcase Home.","Professor John Meunier of the College of Architecturaland Environmental Design, Arizona State University, takes the viewer on a tour of an environmental showcase home being build in Phoenix, Arizona and explains its unique design through interviews with its architects and builders. 1994. 48 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4089"">Video/C 4089Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Arab Organisations Headquarters Building Kuwait","An architectural tour of the Arab Organisations headquarters building in Kuwait in which the designers sought to create a modern working environment while reflecting the culture it represents. 199? 28 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7414"">Video/C 7414Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"The Arch: The Triumph of Mathematics and Architecture","Combining insights from experts such as Oxford University's Jacques Heyman with computer modeling and location and laboratory footage, this program addresses the mechanics of the arch. Chartres and Ely Cathedrals serve as subjects for a discussion of vector equilibrium, lines of thrust, planes of action, buttresses, flying buttresses, and pinnacles. The dome of St. Peter's Basilica and the Beauvais Cathedral are also examined. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1997. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X3160"">DVD X3160Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architectural Wonders","A ranked selection of ten architectural wonders in the world today. Includes the criteria used to select the architectural wonders and then describes each selection. The film begins with the tenth ranked structure and counts back to the top ranked number one. Contents: #10 Fallingwater (Pa.) -- #9 Machu Picchu -- #8 Empire State Building -- #7 Acropolis of Athens -- #6 Roman Coliseum -- #5 Brooklyn Bridge -- #4 Eiffel Tower -- #3 Taj Mahal -- #2 Great Wall of China -- #1 Pyramids of Giza. 1999. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9877"">Video/C 9877Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architecture of Mud","Describes the uses of mud bricks as building materials as utilized in the Hadhramaut region of southeast Yemen. Through interviews with masons as they describe their working techniques, the film examines the various stages of mud construction, its advantages over cement, and the value of lime waterproofing. 2000. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM28"">Video/C MM28Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architecture, the Evolving Skyline","Documents the history of American cultural and artistic influences on building and architecture. 1978. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+MM627"">Video/C MM627Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architectures 1","Contents: The Bauhaus / Frederic Compain -- The faculty of architecture in Oporto / Richard Copans and Stan Neumann -- Family lodging in Guise / Catherine Adda -- Nemausus 1 / Richard Copans and Stan Neumann -- The Georges Pompidou Center / Richard Copans -- The Post Office Savings Bank in Vienna / Stan Neumann.
A privileged look inside the work of superstar architects and some of their most brilliant creations. Examines their architecture from a historical and social perspective to reveal its meaning and impact on humanity. Includes the work of Walter Gropius, Alvaro Siza, Andre Godin, Jean Nouvel, Richard Rogers, Renzo Piano and Otto Wagner. 2001. 163 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2031"">DVD 2031Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architectures 2","Contents: The Villa Dall'Ava / Richard Copans -- The Johnson Wax Building / Frederic Compain -- The Galleria Umberto I / Stan Neumann -- Satolas TGV / Catherine Adda -- The Stone Thermal Baths / Richard Copans -- The Paris Fine Art School / Catherine Adda.
Six films from a series devoted to the most ambitious superstar architects and their most brilliant creations. These films examine the contributions of Rem Koolhaas, Frank LLoyd Wright, Santiago Calatrava, Peter Zumthor, Felix Duban along with a look at the innovations of the Galleria Umberto I in Naples and the Vals-les-Bains in Switzerland. 2001. Each segment is approximately 26 minutes in length. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2032"">DVD 2032Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architectures 3","Features architects: Daniel Libeskind, Charles Garnier, Le Corbusier, Antonio Gaudi, Louis Sullivan, Alvar Aalto. A privileged, unprecedented inside look at the work of superstar architects. This volume examines the architecture of the Jewish Museum of Berlin; Louis Sullivan's Auditorium Theatre in Chicago; a Dominican convent; Charles Garnier's Parisian Opera and more. 2003. 160 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4767"">DVD 4767Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architectures 4 (Architekturen 4)","La Saline d'Arc et Senans = Royal Saltworks of Arc-et-Senans / un film de Richard Copans et Stan Neumann -- La Maison de Verre / un film de Richard Copans et Stan Neumann -- Le Musee Guggenheim de Bilbao = The Guggenheim Museum of Bilbao / un film de Julien Donada -- La Maison de Jean Prouve = Jean Prouve's House / un film de Stan Neumann -- La Mediatheque de Sendai = Multimedia Library of Sendai / un film de Richard Copans -- L'Abbatiale Sainte Foy de Conques = The Abbey Church of Sainte Foy at Conques / un film de Stan Neumann. Provides an inside look at the work of celebrated architects and some of their most brilliant creations. Examines the saltworks of Arc-and-Senans built by Claude-Nicolas Ledoux in the late 18th century and the influence of this monumental factory on other architects. Looks at the Maison de Verre or the house of glass, designed by Pierre Chareau and completed in 1932, as an example of playful avant-garde architecture that was built around the top floor of an existing Paris building that the tenant refused to vacate. Discusses how the deconstructivist Guggenheim Museum of Bilbao, designed by Frank Gehry and opened to the public in 1997, was incorporated into its environment in a dying industrial city. Describes how the self-educated engineer and architect Jean Prouve, known for his metal furniture, built a house for his own family in 1954 after the failure of his attempts to sell prefabricated, steel and aluminum houses to the French public. Examines the transparent cube of a multimedia library built in 2001 in northern Japan by architect Toyo Ito and its use of open and barrier-free space. Looks at the construction of the historic Abbey Church of Saint Foy as a prototype of a ""pilgrim church"" in the new style of the 11th century, now known as Romanesque. Originally broadcast as episodes of the French television program Architectures by Arte France in 2004. 26 min. each episode. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6414"">DVD 6414Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architectures 5 (Architekturen 4)","A privileged, unprecedented inside look at the work of superstar architects and some of their most brilliant creations. The Alhambra-Grenada -- The house of Sugimoto -- The Reception and Congress building in Rome / [architect, Adalberto Libera] -- The Yoyogi Olympic Gymnasiums / [Architect, Kenzo Tange] -- The Villa Barbaro (villa di Maser) / [architect, Andrea Palladio]-- Phaeno, building as landscape / [architect, Zaha Hadid]. Originally produced between 2005-2007 for European public television by Arte France. 160 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9322"">DVD 9322Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architecture and The City: Friends Or Foes?","A symposium presenting the views of twelve professionals involved in architecture and city planning. 1988. 58 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2374"">Video/C 2374Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architecture: From Earth to Sky.","Architecture is examined in relation to its usefulness, construction and aesthetic pleasure over the centuries. Originally presented in 1978 as part of the television series Humanities Through the Arts. With Maya Angelou. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6288"">Video/C 6288Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architecture of Doom.","Building upon the Nazi cult of the extreme aesthetic which aspired to return beauty to the world, film examines Hitler's eccentric cultural ambitions for the Third Reich, and the profound influence his obsession -- and personal failures -- with art played in the development of the Nazi Party. Film examines Hitler's propaganda which created a social climate which made brutality and murder an acceptable means to beautify the world. 1989. 119 min. ; also on VHS ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+453"">DVD 453Ж; Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3501"">Video/C 3501Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architectures de Nancy: Les Temps d'une Ville.","Architects and city planners discuss the architectural development of Nancy, France from the Middle Ages to the year 2,000. 1994. 26 min ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4701"">Video/C 4701Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Architectures de Nancy: Les Temps d'une Ecole","On the occasion of the opening of the new Ecole d'architecture de Nancy designed by Livio Vacchini, the faculty and students of the college discuss their attitudes towards the design and planning of school and college facilities. 1994. 52 min ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4702"">Video/C 4702Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Arkitektura: A Video Documentary on Philippine Architecture.","Traces the history and culture of the Philippines through its architecture. Shows the influence of the indigenous, ethnic and religious heritage on the residential, commercial, and religious buildings of the Philippines. c1989. 23 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8062"">Video/C 8062Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Arkitektura: A Video Documentary on the American Colonial and Contemporary Traditions in Philippine Architecture","This documentary describes the public buildings and private structures built in the Philippines in the first half of the 20th century which served American colonial policies. It then moves on to present structures designed by Filipino architects after WWII who became concerned with the development of buildings that are congruent with Filipino history and culture, climatic and cultural conditions and ends with a discussion of the characteristics of Accompanied by text: Arkitektura: an essay on the American colonial and contemporary traditions in Philippine architecture by Rodrigo D. Perez III. c1994. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8754"">Video/C 8754Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"Art Deco","Presents the history of the Art Deco style in fine arts, architecture and the decorative arts. Art Deco found its fullest expression in America, where it was applied to everything from skyscrapers to diners. The film includes footage of many art deco buildings in America, archival footage showing other examples of art deco work and objects, the role of WPA artists and commentary from art historians. Dist.: Ѭ href=""http://www.films.com"">Films Media Group.Ж 2002. 29 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+1984"">DVD 1984Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
"As Frozen Music.","Reveals the realities of the Sydney Opera House designed by Jorn Utzon. 1987. 55 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2144"">Video/C 2144Ж","Environmental Design","Architecture and Industrial Design: General and Miscellaneous"
