"Source:","http://www.lib.berkeley.edu/MRC/imagesafam.html"
"The Movies, Race, and Ethnicity"
"Hallelujah (1929)","
        Directed by King. Vidor. Cast: Daniels L. Haynes, Nina MaeMcKinney, William Fountaine, Harry Gray, Fanny Belle DeKnight,Everett McGarrity, Victoria Spivey, Dixie Jubilee Singers. Anall-Black cast film which depicts the life of a rural southernBlack family written according to racist stereotypes prevalentin 1929. Themes show illiterate Black plantation life, singing,dancing and gambling, religious beliefs and practices,including a special baptism sequence, and the relationshipsbetween men and women in a ""sinful environment"". ""Made whenscreen musicals were mainly backstage stories or all-starrevues, ""Hallelujah!"" broke the mold. Director King Vidor,given the go-ahead only after pledging his salary to offsetproduction costs, combines melodrama with work songs andspirituals...a sincere and sympathetic treatment of rural blacklife."" 90 min. ; 
        
          
        
      â€¢149; Ѭhref=""http://us.imdb.com/title/tt0019959/"">Credits andother information from the Internet Movie DatabaseЖ
            
              â€¢149;Awards & Honors
              â€¢149;Ѭhref=""http://www.loc.gov/film/"">National FilmRegistry SelectionЖ
            
          â€¢149;Awards & Honorsâ€¢149;Ѭhref=""http://www.loc.gov/film/"">National FilmRegistry SelectionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4965"">DVD 4965Ж; Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1432"">vhs 999:1432Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1920 - 1929"
"St. Louis Blues(1929)","
        Directed by Dudley Murphy. Cast: Bessie Smith. In thisall-black cast short, legendary blues singer Bessie Smith findsher gambler lover Jimmy messin' with a pretty, younger woman;he leaves and she sings the blues, with chorus and dancers.; 
        
          
          
        
      Reviews and articles:â€¢149;Stanfield, Peter. ""An Excursion into the LowerDepths: Hollywood, Urban Primitivism, and St. Louis Blues,1929-1937."" Cinema Journal - 41, Number 2, Winter2002, pp. 84-108 Ѭhref=""http://muse.jhu.edu/journals/cinema_journal/v041/41.2stanfield.pdf"">Full-textof this article / review is available: UC users onlyЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+543"">DVD 543Ж; Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1692"">vhs 999:1692Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1920 - 1929"
"Racist Little Rascals","
        Contents: Big ears / director, Robert McGowan (21 min.) -- Ladand a lamp / director, Robert McGowan (17 min.) -- Anniversarytrouble / director, Gus Meins (18 min.) -- Little sinner /director, Gus Meins (18 min.) -- Three smart boys / director,Gordon Douglas (10 min.) -- Mush and milk / director, RobertMcGowan (18 min.) -- Spooky hooky / director, Gordon Douglas(11 min.) -- Kid from Borneo / director, Robert McGowan (18min.). Starring the Our Gang characters, including Spanky,Alfalfa, Stymie, Darla, Porky, Buckwheat, Butch, Wheezer,Chubby, Waldo, and Hattie McDaniel.
        A rare collection of early Our Gang and Little Rascalstelevision episodes poking fun at colored folks. Videodiscrelease of eight episodes of the Our Gang comedies, originallyproduced between 1938 and 1944, and shown on television as theLittle Rascals. 131 min. 
      ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+2442"">DVD 2442Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1930 - 1939"
"Borderline (UK, 1930)","Directed by Kenneth MacPherson. Cast: Paul Robeson, EslandaRobeson, Helga Doorn, Gavin Arthur, Charlotte Arthur, BlancheLewin. This experimental silent film, made in Switzerland by anindependent British film company, is chiefly remembered as PaulRobeson's first film. Boldly blending Eisensteinian montage anddomestic melodrama, the film features Robeson and his wife,Eslanda, as lovers caught up in a tangled web of interracialaffairs. 63 min. â€¢149;Ѭ href=""http://www.imdb.com/title/tt0020701/"">Creditsand other information from the Internet Movie DatabaseЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7281"">DVD 7281Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1930 - 1939"
"Check and Double CheckЖ (1930)","Directed by Melville W. Brown. Cast: Freeman Gosden, Charles J.Correll, Sue Carol, Irene Rich. Cab drivers Amos 'n' Andy(characters from the radio show Amos 'n' Andy) contract totransport Duke Ellington and his band out to Blair estate, wherethey meet Richard Williams who is in love with Jean Blair. Richardmust find the deed to his family property before he can marry Jean.Meanwhile, Amos 'n' Andy, after spending the night in a hauntedhouse, find the deed. Notable as the only motion picture producedstaring the radio comedy team, Amos n' Andy. 85 min. ;â€¢149;Ѭ href=""http://www.imdb.com/title/tt0020758/"">Creditsand other information from the Internet Movie DatabaseЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X4918"">DVD X4918Ж; Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:793"">vhs 999:793Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1930 - 1939"
"The African Dodger (1931)","
        Directed by Mort Blumenstock. Cast: Tom Howard, Joe Lyons,Edward Gargan. ""In the early twentieth century, many Americancarnivals and fun fairs featured an ""African Dodger"". This wasa Negro (usually genuine, sometimes a white man in blackface)who would stick his head through a hole and taunt the suckers,who paid a nickel for the privilege of throwing baseballs atthe African Dodger. The dodger would (usually) pull his headout of the hole in time to avoid getting hit, but sometimes hewasn't fast enough. African Dodgers were so commonplace thatsome sadistic people would bring a hard (wooden or iron) ballinto any carnival that came to town, knowing they'd have achance to throw it at a black man's head and cause him seriousinjury."" In this film comedian Tom Howard plays a man on acarnival midway who gets suckered into substituting for theAfrican Dodger. 91 min. ; 
        
          â€¢149; Ѭhref=""http://us.imdb.com/title/tt0214442/"">Credits andother information from the Internet Movie DatabaseЖ
        
      ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X2036"">DVD X2036Ж; Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:2637"">vhs 999:2637Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1930 - 1939"
"Emperor Jones (1933)","
        Directed by Dudley Murphy, with screenplay adapted by DuBoseHeyward from the drama by Eugene O'Neill. Cast: Paul Robeson,Dudley Digges, Frank Wilson, Fredi Washington, Ruby Elzy. 101min. ; DVD 
        
          
        
      â€¢149;Ѭhref=""http://us.imdb.com/title/tt0023985/"">Credits andother information from the Internet Movie DatabaseЖ
            
              â€¢149;Awards & Honors
              â€¢149;Ѭhref=""http://www.loc.gov/film/"">National FilmRegistry SelectionЖ
            
          â€¢149;Awards & Honorsâ€¢149;Ѭhref=""http://www.loc.gov/film/"">National FilmRegistry SelectionЖ
        See also:
        
          â€¢149;Alsen, Eberhard. ""Racism and the Film Version OfEugene O'neill's The Emperor Jones."" CLA Journal,Jun2006, Vol. 49 Issue 4, p406-422, 17p
          â€¢149;Paul Robeson : essays on his life andlegacy Edited by Joseph Dorinson and William Pencak.Jefferson, N.C. : McFarland, 2002. (Main StackE185.97.R63.P375 2002; PFA PN2287.R59.P38 2002)
          â€¢149;Siomopoulos, Anna. ""'The 'Eighth O' Style':Black Nationalism, The New Deal, And 'The Emperor Jones'.""Arizona Quarterly 2002 58(3): 57-81 25p
        
      ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7280"">DVD 7280Ж; Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3917"">DVD 3917Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1930 - 1939"
"She Done Him Wrong (1933)","
        Director, Lowell Sherman. Cast: Mae West, Cary Grant, OwenMoore, Noah Beery, Gilbert Roland, Louise Beavers. Mae West asLady Lou, a toughlady with a heart of gold, who dallys withassorted beaus, becomes entangled in murder, saves a Bowerymission and still has enough energy left to belt out a tune ortwo! Louise Beavers is featured as Mae West's stereotypicallydithery maid and straight woman. ; 
        
          
        
      â€¢149; Ѭhref=""http://us.imdb.com/title/tt0024548/"">Credits andother information from the Internet Movie DatabaseЖ
            
              Reviews and articles:
              â€¢149;Beavers, Karen. ""Everybody Has a Mammy:The Productive Discomfort of Louise Beavers' MovieMaids."" Genders; 2010, Issue 52, p1-1, 1p Ѭhref=""http://www.genders.org/g52/g52_beavers.html"">Full-textof this article / review is available: Ж
              â€¢149;Rubin, Martin. ""She Done Him Wrong andthe Risen Woman."" In: American cinema of the1930s : themes and variations / edited by InaRae Hark. New Brunswick, N.J. : Rutgers UniversityPress, c2007. (Ѭhref=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10214186"">Fulltext available onlineЖ (UCB users only); Print:Main (Gardner) Stacks PN1993.5.U6 A85735 2007)
              â€¢149;Wojcik, Pamela Robertson. ""Mae West'sMaids: Race, 'Authenticity,' and the Discourse ofCamp."" In: Hop on pop : the politics andpleasures of popular culture / edited by HenryJenkins, Tara McPherson & Jane Shattuc. Durham,N.C. : Duke University Press, 2002. (MAIN: E169.1.H77 2002; MOFF: E169.1 .H77 2002)
            
          Reviews and articles:â€¢149;Beavers, Karen. ""Everybody Has a Mammy:The Productive Discomfort of Louise Beavers' MovieMaids."" Genders; 2010, Issue 52, p1-1, 1p Ѭhref=""http://www.genders.org/g52/g52_beavers.html"">Full-textof this article / review is available: Жâ€¢149;Rubin, Martin. ""She Done Him Wrong andthe Risen Woman."" In: American cinema of the1930s : themes and variations / edited by InaRae Hark. New Brunswick, N.J. : Rutgers UniversityPress, c2007. (Ѭhref=""http://sunsite.berkeley.edu:8080/librarysurvey/library.survey.logic?refUrl=http%3A%2F%2Fsite%2Eebrary%2Ecom%2Flib%2Fberkeley%2FDoc%3Fid%3D10214186"">Fulltext available onlineЖ (UCB users only); Print:Main (Gardner) Stacks PN1993.5.U6 A85735 2007)â€¢149;Wojcik, Pamela Robertson. ""Mae West'sMaids: Race, 'Authenticity,' and the Discourse ofCamp."" In: Hop on pop : the politics andpleasures of popular culture / edited by HenryJenkins, Tara McPherson & Jane Shattuc. Durham,N.C. : Duke University Press, 2002. (MAIN: E169.1.H77 2002; MOFF: E169.1 .H77 2002)","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+9581"">DVD 9581Ж; Ѭ href=""http://oskicat.berkeley.edu/search~S1?/evhs+999:1691"">vhs 999:1691Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1930 - 1939"
"Imitation of LifeЖ (1934)","Directed by John M. Stahl. Cast: Claudette Colbert (Beatrice""Bea"" Pullman), Warren William (Stephen Archer), Ned Sparks (ElmerSmith, Louise Beavers (Aunt Delilah). The story of two widows andtheir troubled daughters. In the search for success as an actress,Lora neglects her daughter. Lora's black housekeeper's daughterrepudiates her mother by trying to pass for white. As the yearspass, each of the four women realizes that she has been living outan emotionally fruitless existence. 106 min. 
        â€¢149; Ѭ href=""http://us.imdb.com/Title?0025301"">Creditsand other information from the Internet Movie DatabaseЖ
        
          â€¢149;Awards & Honors
          â€¢149;Ѭ href=""http://www.loc.gov/film/"">NationalFilm Registry SelectionЖ
        
      
        
          See also:
          â€¢149;Ѭ href=""#imitation59"">1959 version ofImitation of LifeЖ
        
      ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5246"">DVD 5246Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1930 - 1939"
"The Little Colonel (1935)","
        Directed by David Butler. Cast: Shirley Temple, LionelBarrymore, Bill Robinson, John Lodge, Evelyn Venable, HattieMcDaniel. An old-fashioned Southern colonel has disowned hisdaughter for marrying a Yankee and resists all entreaties for areconciliation until he succumbs to the charms of his littlegranddaughter. Includes the famous ""stairs"" dance by Temple and""Bojangles"" Robinson. 75 min. 
        
          
        
      â€¢149;Ѭhref=""http://us.imdb.com/title?0016029"">Credits andother information from the Internet Movie DatabaseЖ
            
              Reviews and articles:
              â€¢149;DuCille, Ann. ""The Shirley Temple of myfamiliar."" Transition. Spring 1997. , Iss.73; pg. 10, 23 pgsѬhref=""http://www.jstor.org/stable/2935441"">Full-textof this article / review is available: UC usersonlyЖ
              â€¢149;Osterweil, Ara ""Reconstructing Shirley:Pedophilia and Interracial Romance in Hollywood'sAge of Innocence."" Camera Obscura; Sep2009,Vol. 24 Issue 72, preceding p1-39, 41p Ѭhref=""http://cameraobscura.dukejournals.org/cgi/reprint/24/3_72/1"">Full-textof this article / review is available: UC usersonlyЖ
              â€¢149;Orr Vered, Karen. ""White and Black inBlack and White: Management of Race and Sexualityin the Coupling of Child-Star Shirley Temple andBill Robinson."" Velvet Light Trap Spring97Issue 39, p52-65, 14p, Ѭhref=""http://go.galegroup.com/ps/i.do?id=GALE%7CA90190444&v=2.1&u=ucberkeley&it=r&p=LitRC&sw=w"">Full-textof this article / review is available: UC usersonlyЖ
            
          Reviews and articles:â€¢149;DuCille, Ann. ""The Shirley Temple of myfamiliar."" Transition. Spring 1997. , Iss.73; pg. 10, 23 pgsѬhref=""http://www.jstor.org/stable/2935441"">Full-textof this article / review is available: UC usersonlyЖâ€¢149;Osterweil, Ara ""Reconstructing Shirley:Pedophilia and Interracial Romance in Hollywood'sAge of Innocence."" Camera Obscura; Sep2009,Vol. 24 Issue 72, preceding p1-39, 41p Ѭhref=""http://cameraobscura.dukejournals.org/cgi/reprint/24/3_72/1"">Full-textof this article / review is available: UC usersonlyЖâ€¢149;Orr Vered, Karen. ""White and Black inBlack and White: Management of Race and Sexualityin the Coupling of Child-Star Shirley Temple andBill Robinson."" Velvet Light Trap Spring97Issue 39, p52-65, 14p, Ѭhref=""http://go.galegroup.com/ps/i.do?id=GALE%7CA90190444&v=2.1&u=ucberkeley&it=r&p=LitRC&sw=w"">Full-textof this article / review is available: UC usersonlyЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6039"">DVD 6039Ж","The Movies, Race, and Ethnicity","African Americans","Representations of African Americans in Mainstream and IndependentHollywood","1930 - 1939"
